# Solve Time (ms): 0.652
k,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
12,7.173016809020845e-18,-4.70953889810761e-18,0.998408141471811,-1.042394798036765e-16,2.1469077981694145e-16,0.01225043201124434,-6.238376544713123e-16,5.984431414829563e-16,-0.0055143824393676655,1.4937040762081678e-16,-2.422802454544051e-16,-0.01716985371268463,-0.006007216251233316,0.010827058509858621,-0.006007216251233924,0.010827058509859083
13,-2.165235144346108e-17,1.0413789517366812e-17,0.998368475987445,-8.99889512904573e-17,1.902683605040415e-16,0.010649371971007519,3.6647950962108584e-17,-2.9356782468519865e-16,0.00475125252874905,1.3483673555047664e-16,-2.4860115582937614e-16,-0.014874370363355774,0.0006626001161695484,0.0035304127623858963,0.0006626001161695278,0.0035304127623859
14,-1.7054409775644232e-17,-2.0577118865149494e-17,0.9989307892558862,-7.783225648750502e-17,1.6552737207648955e-16,0.00926273449579606,4.2864370490033847e-17,-3.196305997636362e-16,0.006500136847614158,1.1336431099610869e-16,-2.400451480060432e-16,-0.012878379637766616,0.0032226418727870974,0.0004279685858848927,0.003222641872787341,0.0004279685858848862
15,-1.2590376807340855e-17,-3.4879779643082166e-17,0.9994958481792431,-6.753922879169861e-17,1.430372154169383e-16,0.008062600006783008,3.3287105989365513e-17,3.9592538916751555e-17,0.004796036205019781,9.708195529605129e-17,-2.064454819990944e-16,-0.01114169262773893,0.003436497167458121,-0.00025478306236723433,0.003436497167458126,-0.0002547830623672559
16,-1.0401176874218848e-17,-3.054353634003808e-17,0.999863241873506,-5.863907472326413e-17,1.2415364093036997e-16,0.0070248040033502055,1.878579371942416e-18,4.841809480946497e-17,0.002545183074879023,8.45914543432954e-17,-1.7130358230316e-16,-0.009629341281324557,0.002734854665324101,4.202800561069527e-05,0.0027348546653241644,4.2028005610688514e-05
17,-1.0500336667482826e-17,-2.114319054396831e-17,1.0000359090039561,-5.087969549336129e-17,1.0850478090233702e-16,0.006128450571173239,-7.92665262009155e-18,1.3879771878539695e-16,0.0009031835356868384,7.324685157005789e-17,-1.4260713715329897e-16,-0.008310874439060346,0.001924095320214416,0.0005038695042869356,0.0019240953202143232,0.0005038695042869388
18,-1.103686972117289e-17,-1.3959191580194687e-17,1.0000830700710264,-4.422686155384466e-17,9.519423228613977e-17,0.005355491688460289,-3.990986528480583e-18,2.5658705662222238e-18,3.721043614078641e-05,6.17690310484753e-17,-1.2438656780709392e-16,-0.007159744753078372,0.0013154807736108372,0.0008124541738909995,0.0013154807736108444,0.0008124541738910295
19,-9.352777731616473e-18,-1.317955357850964e-17,1.000071521940236,-3.8692064611045097e-17,8.350465182569331e-17,0.004690363862032473,3.974190922767125e-17,1.2573663478183458e-17,-0.00026946179877608366,5.0670471828300914e-17,-1.0912900066928636e-16,-0.006152774203345622,0.0009463760787341185,0.0009243756350807298,0.0009463760787341004,0.0009243756350807068
20,-7.172475315144594e-18,-1.322050332554205e-17,1.0000439324631263,-3.4119403129804603e-17,7.328840999464311e-17,0.004119674777791048,6.244208997212619e-18,-1.3411379076203454e-17,-0.00028281234961893907,4.2250052174837987e-17,-9.481606260727019e-17,-0.005269687441759688,0.0007511416225049999,0.0009000948680583993,0.0007511416225050249,0.0009000948680584192
21,-5.197954636874954e-18,-1.2754765008566332e-17,1.0000202055065406,-3.029450160671685e-17,6.45129074628282e-17,0.003631933658304531,3.6698455619104415e-17,2.2483482143234838e-17,-0.00019192359145054583,3.5405183699407364e-17,-8.041664265720717e-17,-0.004492703565251777,0.0006534075834749407,0.0008115615130359415,0.00065340758347493,0.0008115615130359108
22,-3.850349418911274e-18,-1.1300501632906157e-17,1.000005846707445,-2.70233625206032e-17,5.710749815072245e-17,0.0032173199005789323,-8.813017973972192e-18,7.075761134224884e-18,-9.543237450948305e-05,3.08449559293479e-17,-6.761351057841118e-17,-0.00380617810276139,0.0005994727919440634,0.0007087260250411815,0.000599472791944076,0.0007087260250411962
23,-3.715787202613667e-18,-9.721387922763734e-18,0.9999996499152431,-2.4181143505587004e-17,5.091487964385142e-17,0.0028674853375373543,1.2718146113543741e-17,2.466858892758965e-17,-2.8768752010513732e-05,2.6477001518630436e-17,-5.61711453448564e-17,-0.0031962880129789185,0.0005608961635390331,0.0006168727068727138,0.000560896163539017,0.0006168727068726973
24,-3.64521597477562e-18,-8.433287118591893e-18,0.9999984995083961,-2.174495578879449e-17,4.577087154099428e-17,0.002575386142965159,-1.1186695212898328e-17,7.604326713535809e-19,5.3989108111577874e-06,2.2655508362230793e-17,-4.66643418444069e-17,-0.002650753361519077,0.0005265380358213502,0.0005445145100314128,0.0005265380358213599,0.0005445145100314267
25,-3.728120199431528e-18,-7.628191867052249e-18,0.9999996101959197,-1.9700799882433002e-17,4.1530812637789356e-17,0.0023351409898672813,8.893502778533712e-18,1.524918187381865e-17,1.6386445718594454e-05,1.8540727788583056e-17,-3.803314633421001e-17,-0.0021585901942600626,0.0004942238159203973,0.0004916730201610454,0.0004942238159203824,0.0004916730201610337
26,-3.669334590380241e-18,-7.186023637191152e-18,1.0000011945019869,-1.8049729076286473e-17,3.8103854690851767e-17,0.0021419125274310864,-7.592015806605783e-18,-6.72213187884052e-18,1.4849115320867836e-05,1.4777649854246313e-17,-3.040731827064804e-17,-0.0017098909677510557,0.00046522905936773246,0.0004553128874363798,0.0004652290593677451,0.0004553128874363922
27,-3.493072397622419e-18,-6.951049096346206e-18,1.0000023989446614,-1.6777555747314743e-17,3.543260477920056e-17,0.00199180893226718,1.018573975043974e-17,1.1414327715983827e-17,8.813745379677138e-06,1.0887316265453435e-17,-2.28833001990275e-17,-0.001295642278135413,0.0004413305462747125,0.0004318535561455223,0.0004413305462747045,0.0004318535561455154
28,-3.009568861651037e-18,-6.406637580271921e-18,1.0000030096185333,-1.5863997088708827e-17,3.348168644892372e-17,0.0018817942723756847,1.792982282452693e-19,-1.3053167514423665e-19,3.0406883602163234e-06,7.64068604512405e-18,-1.6141240280865196e-17,-0.000907729629208662,0.000421614237045594,0.0004159585149770109,0.0004216142370455899,0.00041595851497700816
29,-3.1839783666636093e-18,-6.700328100517287e-18,1.0000031542469712,-1.5258681906898146e-17,3.219157047741307e-17,0.0018095050592134717,-4.145845066662902e-18,-6.0237865988862235e-18,-4.0610803611702533e-07,4.54615378832143e-18,-9.560090701386852e-18,-0.0005407974636244948,0.00037856921341993227,0.0003768859395518838,0.00037856921341993145,0.00037688593955188153
30,-3.765360807259837e-18,-7.361494012581797e-18,1.0000030690019237,-1.497323595370962e-17,3.157826406897815e-17,0.001771874110314572,-7.439966462389861e-18,-7.242471680305642e-18,-1.4325706179076082e-06,1.1247158399950754e-18,-2.580105784341845e-18,-0.00021412040214090254,0.0,0.0,0.0,0.0
